author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;district;street;house_number;underground
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/300935887/;Москва;rent;flat;3;6;4;140.0;500000;0;Пресненский;Большая Садовая ;10;Маяковская
ID 18835544;official_representative;https://www.cian.ru/rent/flat/278216280/;Москва;rent;flat;7;12;2;90.0;1000000;0;Тверской; Охотный Ряд;2;Охотный ряд
CITYZEN;real_estate_agent;https://www.cian.ru/rent/flat/301508796/;Москва;rent;flat;60;78;3;120.0;360000;0;Пресненский;1-й Красногвардейский проезд;22с1;Деловой центр
Intermark Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/299073557/;Москва;rent;flat;5;12;3;115.0;300000;0;Тверской;1-й Тверской-Ямской переулок;11;Маяковская
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/299746207/;Москва;rent;flat;11;12;3;117.2;350000;0;Хамовники;Ружейный переулок;3;Смоленская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/302218569/;Москва;rent;flat;8;9;1;48.0;100000;0;Хамовники;Ружейный переулок;4С1;Смоленская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301525928/;Москва;rent;flat;11;16;3;127.0;350000;0;Хамовники;Ружейный переулок;3;Смоленская
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/300578046/;Москва;rent;flat;3;5;4;145.0;380000;0;Хамовники;Пожарский переулок;9;Кропоткинская
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/301930194/;Москва;rent;flat;4;28;2;45.0;90000;0;Филевский парк; Василисы Кожиной;13;Багратионовская
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/300660839/;Москва;rent;flat;3;4;4;150.0;380000;0;Хамовники;Пожарский переулок;9;Кропоткинская
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/299518351/;Москва;rent;flat;7;10;4;232.0;750000;0;Якиманка; Малая Полянка;2;Полянка
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301706310/;Москва;rent;flat;8;9;1;34.0;40000;0;; Александры Монаховой;84к1;Бунинская аллея
Whitewill Аренда;real_estate_agent;https://www.cian.ru/rent/flat/298688609/;Москва;rent;flat;6;8;3;140.0;400000;0;Тверской;Тверская ;9;Охотный ряд
АБ Риэлти;real_estate_agent;https://www.cian.ru/rent/flat/299784922/;Москва;rent;flat;2;7;4;320.0;1700000;0;Хамовники;переулок Хилков;1;Парк Культуры
